,word1,word2,gptCtgrl,gptAssoc,reason
893,ask,plead,Association,9,
894,find,disappear,Categorical,similarity,
895,inspect,examine,Association,7,
896,verify,justify,Categorical,similarity,
897,assume,predict,Association,10,
898,learn,evaluate,Categorical,similarity,
899,argue,justify,Association,8,
900,make,become,Categorical,similarity,
901,discover,originate,Association,6,
902,achieve,succeed,Categorical,similarity,
903,give,put,Association,8,
904,understand,listen,Categorical,similarity,
905,expand,grow,Association,9,
906,borrow,sell,Categorical,similarity,
907,keep,protect,Association,6,
908,explain,prove,Categorical,similarity,
909,assume,pretend,Association,8,
910,agree,please,Categorical,similarity,
911,forgive,forget,Association,9,
912,clarify,explain,Categorical,similarity,
913,understand,forgive,Association,8,
914,remind,forget,Categorical,similarity,
915,get,remain,Association,9,
916,realize,discover,Categorical,similarity,
917,require,inquire,Association,8,
918,ignore,ask,Categorical,similarity,
919,think,inquire,Association,8,
920,reject,avoid,Categorical,similarity,
921,argue,persuade,Association,8,
922,pursue,persuade,Categorical,similarity,
923,accept,forgive,Association,8,
924,do,quit,Categorical,similarity,
925,investigate,examine,Association,8,
926,discuss,explain,Categorical,similarity,
927,owe,lend,Association,8,
928,explore,discover,Categorical,similarity,
929,complain,argue,Association,6,
930,withdraw,reject,Categorical,similarity,
931,keep,borrow,Association,8,
932,beg,ask,Categorical,similarity,
933,arrange,organize,Association,8,
934,reduce,shrink,Categorical,similarity,
935,speak,acknowledge,Association,8,
936,give,borrow,Categorical,similarity,
937,kill,defend,Association,8,
938,disappear,shrink,Categorical,similarity,
939,deliver,carry,Association,8,
940,breathe,choke,Categorical,similarity,
941,acknowledge,notify,Association,8,
942,become,seem,Categorical,similarity,
943,pretend,seem,Association,8,
944,accomplish,become,Categorical,similarity,
945,contemplate,think,Association,5,
946,determine,predict,Categorical,similarity,
947,please,entertain,Association,8,
948,remain,retain,Categorical,similarity,
949,pretend,portray,Association,8,
950,forget,retain,Categorical,similarity,
951,want,choose,Association,9,
952,lose,get,Categorical,similarity,
953,try,think,Association,8,
954,become,appear,Categorical,similarity,
955,leave,ignore,Association,8,
956,accept,recommend,Categorical,similarity,
957,leave,wander,Association,9,
958,keep,give,Categorical,similarity,
959,give,allow,Association,8,
960,bring,send,Categorical,similarity,
961,absorb,learn,Association,8,
962,acquire,find,Categorical,similarity,
963,leave,appear,Association,9,
964,create,destroy,Categorical,similarity,
965,begin,go,Association,6,
966,get,buy,Categorical,similarity,
967,collect,save,Association,5,
968,replace,restore,Categorical,similarity,
969,join,add,Association,8,
970,join,marry,Categorical,similarity,
971,accept,deliver,Association,6,
972,attach,join,Categorical,similarity,
973,put,hang,Association,8,
974,go,sell,Categorical,similarity,
975,communicate,pray,Association,8,
976,give,steal,Categorical,similarity,
977,add,build,Association,8,
978,bring,restore,Categorical,similarity,
979,comprehend,satisfy,Association,8,
980,portray,decide,Categorical,similarity,
981,organize,become,Association,8,
982,give,know,Categorical,similarity,
983,say,verify,Association,8,
984,cooperate,join,Categorical,similarity,
985,arrange,require,Association,8,
986,borrow,want,Categorical,similarity,
987,investigate,pursue,Association,8,
988,ignore,explore,Categorical,similarity,
989,bring,complain,Association,8,
990,enter,owe,Categorical,similarity,
991,portray,notify,Association,8,
992,remind,sell,Categorical,similarity,
993,absorb,possess,Association,8,
994,join,acquire,Categorical,similarity,
995,send,attend,Association,8,
996,gather,attend,Categorical,similarity,
997,absorb,withdraw,Association,8,
998,attend,arrive,Categorical,similarity,
